monster;abonnementstype;ordretype;kode;merknad
sikre;sikre mobil u13;any;TNSIKREU13;Bekreft eksakt Abonnementstype-streng for U13 mot ekte ordre
sikre;sikre mobil pluss;uts;TNPLUSSUTS;
sikre;sikre mobil pluss;eks;TNPLUSSEKS;
sikre;sikre mobil;uts;TNSIKREUTS;
sikre;sikre mobil;eks;TNSIKREEKS;
ubegrenset enkel;any;any;TNUBEGENKEL;
ubegrenset normal;any;any;TNUBEGNORMAL;
ubegrenset optimal;any;any;TNUBEGOPTIMAL;
ubegrenset maksimal;any;any;TNUBEGMAKS;
fast 5gb;any;any;TNFAST5GB;
fast 10gb;any;any;TNFAST10GB;
data-sim;any;any;TNEKSTRASIM;
sikkerhetssenter;any;any;TNSIKKERHET;
plussforsikring;any;any;PLUSSFORSIK;
klokkeforsikring;any;any;TNKLOKKEFOR;Bekreft eksakt Provisjon-tekst mot ekte ordre
splitt plussforsikring;any;any;SPLITTPLUSS;Bekreft eksakt Provisjon-tekst mot ekte ordre
tvilling;any;any;KLOKKESIM;Bekreft eksakt Provisjon-tekst mot ekte ordre
svindelforsikring;any;any;TNSVINHUS;Bekreft eksakt Provisjon-tekst mot ekte ordre
overdragelse;any;any;TELENOREKS;Bekreft eksakt Provisjon-tekst mot ekte ordre
